Wetland Category,Total Wetland Area,Wetland Area (In %age)
Inland Wetlands-Natural,6623067,35.97
Inland Wetlands-Man-made,3941832,21.41
Coastal Wetlands-Natural,3703971,20.12
Coastal Wetlands-Man-made,4140116,22.5
