Wetland Category,Wetland Area (In %age)
Inland Wetlands-Natural (2017-18),33.7
Inland Wetlands-Man-made(2017-18),46.45
Coastal Wetlands-Natural(2017-18),17.39
Coastal Wetlands-Man-made(2017-18),2.46
