Year,Marine contribution (%),In-land contribution (%)
2001–2002,47.7,52.3
2002–2003,48.2,51.8
2003–2004,45.9,54.1
2004–2005,44.1,55.9
2005–2006,42.9,57.1
2006–2007,44.1,55.9
2007–2008,41,59
2008–2009,39.1,60.9
2009–2010,39.2,60.8
2010–2011,38.8,61.2
